Calendar_Year,Month,Policing_District,Incident_Count
2009,Feb,Antrim & Newtownabbey,597
2009,Feb,No Policing District Assigned,0
2009,Mar,Northern Ireland,6715
2009,Mar,Belfast City,1986
2009,Mar,Lisburn & Castlereagh City,378
2009,Mar,Ards & North Down,511
2009,Mar,Newry Mourne & Down,513
2009,Mar,Armagh City Banbridge & Craigavon,545
2009,Mar,Mid Ulster,390
2009,Mar,Fermanagh & Omagh,228
2009,Mar,Derry City & Strabane,649
2009,Mar,Causeway Coast & Glens,571
2009,Mar,Mid & East Antrim,468
2009,Mar,Antrim & Newtownabbey,476
2009,Mar,No Policing District Assigned,0
2009,Apr,Northern Ireland,7362
2009,Apr,Belfast City,2050
2009,Apr,Lisburn & Castlereagh City,389
2009,Apr,Ards & North Down,535
2009,Apr,Newry Mourne & Down,577
2009,Apr,Armagh City Banbridge & Craigavon,708
2009,Apr,Mid Ulster,414
2009,Apr,Fermanagh & Omagh,304
2009,Apr,Derry City & Strabane,691
2009,Apr,Causeway Coast & Glens,605
2009,Apr,Mid & East Antrim,488
2009,Apr,Antrim & Newtownabbey,601
2009,Apr,No Policing District Assigned,0
2009,May,Northern Ireland,7599
2009,May,Belfast City,2247
2009,May,Lisburn & Castlereagh City,406
2009,May,Ards & North Down,592
2009,May,Newry Mourne & Down,639
2009,May,Armagh City Banbridge & Craigavon,721
2009,May,Mid Ulster,407
2009,May,Fermanagh & Omagh,315
2009,May,Derry City & Strabane,674
2009,May,Causeway Coast & Glens,537
2009,May,Mid & East Antrim,507
2009,May,Antrim & Newtownabbey,554
2009,May,No Policing District Assigned,0
2009,Jun,Northern Ireland,8311
2009,Jun,Belfast City,2439
2009,Jun,Lisburn & Castlereagh City,467
2009,Jun,Ards & North Down,598
2009,Jun,Newry Mourne & Down,650
2009,Jun,Armagh City Banbridge & Craigavon,745
2009,Jun,Mid Ulster,439
2009,Jun,Fermanagh & Omagh,371
2009,Jun,Derry City & Strabane,711
2009,Jun,Causeway Coast & Glens,657
2009,Jun,Mid & East Antrim,556
2009,Jun,Antrim & Newtownabbey,678
2009,Jun,No Policing District Assigned,0
2009,Jul,Northern Ireland,7600
2009,Jul,Belfast City,2105
